    Step      Energy    Pressure     Density
             kcal/mol     psi        volume
    12300   -118.605      0.429      0.600
    12325   -115.142      0.478      0.600
    12350   -113.843      0.499      0.600
    12375   -116.502      0.464      0.600
    12400   -112.452      0.514      0.600
    12425   -118.148      0.429      0.600
    12450   -123.150      0.344      0.600
    12475   -122.596      0.337      0.600
    12500   -123.513      0.322      0.600
    12525   -120.714      0.365      0.600
    12550   -116.994      0.421      0.600
    12575   -118.694      0.398      0.600
    12600   -121.399      0.352      0.600
    12625   -124.700      0.301      0.600
    12650   -124.625      0.301      0.600
    12675   -126.314      0.287      0.600
    12700   -120.905      0.381      0.600
    12725   -112.159      0.523      0.600
    12750   -115.045      0.499      0.600
    12775   -113.504      0.516      0.600
    12800   -116.496      0.463      0.600
    12825   -121.010      0.399      0.600
    12850   -115.524      0.477      0.600
    12875   -112.501      0.510      0.600
    12900   -121.971      0.370      0.600
    12925   -120.178      0.392      0.600
    12950   -116.592      0.448      0.600
    12975   -115.566      0.469      0.600
    13000   -117.556      0.446      0.600
    13025   -116.831      0.453      0.600
    13050   -121.908      0.386      0.600
    13075   -121.032      0.400      0.600
    13100   -119.043      0.421      0.600
    13125   -119.967      0.395      0.600
    13150   -117.665      0.414      0.600
    13175   -118.957      0.395      0.600
    13200   -115.945      0.438      0.600
    13225   -116.621      0.428      0.600
    13250   -115.608      0.440      0.600
    13275   -113.590      0.464      0.600
    13300   -118.668      0.389      0.600
    13325   -121.815      0.341      0.600
    13350   -118.699      0.386      0.600
    13375   -113.273      0.468      0.600
    13400   -107.031      0.552      0.600
    13425   -118.765      0.393      0.600
    13450   -114.723      0.452      0.600
    13475   -114.754      0.466      0.600
    13500   -117.016      0.451      0.600
    13525   -113.232      0.518      0.600
    13550   -118.545      0.459      0.600
    13575   -120.760      0.441      0.600
    13600   -115.220      0.534      0.600
    13625   -114.619      0.556      0.600
    13650   -114.006      0.563      0.600
    13675   -117.935      0.504      0.600
    13700   -115.967      0.524      0.600
    13725   -111.904      0.571      0.600
    13750   -107.320      0.619      0.600
    13775   -114.028      0.515      0.600
    13800   -118.471      0.444      0.600
    13825   -115.784      0.480      0.600
    13850   -119.397      0.440      0.600
    13875   -116.673      0.491      0.600
    13900   -109.633      0.595      0.600
    13925   -113.518      0.541      0.600
    13950   -112.532      0.541      0.600
    13975   -114.521      0.500      0.600
    14000   -118.191      0.438      0.600
    14025   -117.172      0.441      0.600
    14050   -117.368      0.438      0.600
    14075   -115.309      0.467      0.600
    14100   -116.380      0.454      0.600
    14125   -118.503      0.428      0.600
    14150   -115.981      0.465      0.600
    14175   -114.099      0.492      0.600
    14200   -117.342      0.446      0.600
    14225   -120.188      0.408      0.600
    14250   -118.063      0.445      0.600
    14275   -113.554      0.512      0.600
    14300   -111.855      0.532      0.600
    14325   -113.568      0.498      0.600
    14350   -119.355      0.412      0.600
    14375   -114.305      0.485      0.600
    14400   -108.491      0.581      0.600
    14425   -107.074      0.605      0.600
    14450   -112.418      0.522      0.600
    14475   -118.453      0.427      0.600
    14500   -120.054      0.398      0.600
    14525   -117.229      0.435      0.600
    14550   -113.830      0.482      0.600
    14575   -116.531      0.449      0.600
    14600   -114.310      0.485      0.600
    14625   -113.761      0.497      0.600
    14650   -114.890      0.482      0.600
    14675   -116.383      0.461      0.600
    14700   -117.403      0.450      0.600
    14725   -115.585      0.480      0.600
    14750   -111.874      0.529      0.600
    14775   -116.411      0.463      0.600
    14800   -115.919      0.466      0.600
    14825   -114.682      0.484      0.600
    14850   -110.402      0.541      0.600
    14875   -113.380      0.503      0.600
    14900   -114.155      0.498      0.600
    14925   -109.023      0.574      0.600
    14950   -109.955      0.558      0.600
    14975   -113.001      0.500      0.600
    15000   -117.092      0.422      0.600
